id,neighbourhood_group,room_type,price
6021,Manhattan,Private room,85
7097,Brooklyn,Entire home/apt,215
15711,Manhattan,Entire home/apt,250
16326,Brooklyn,Entire home/apt,200
7322,Manhattan,Private room,140
19601,Brooklyn,Entire home/apt,800
21644,Manhattan,Private room,89
21456,Manhattan,Entire home/apt,140
21644,Manhattan,Private room,89
7750,Manhattan,Entire home/apt,190
15711,Manhattan,Entire home/apt,250
16326,Brooklyn,Entire home/apt,200
19319,Manhattan,Private room,94
19601,Brooklyn,Entire home/apt,800
6090,Manhattan,Entire home/apt,120
6848,Brooklyn,Entire home/apt,140
19812,Brooklyn,Entire home/apt,105
21456,Manhattan,Entire home/apt,140
21644,Manhattan,Private room,89
21794,Manhattan,Private room,98
